Countries,Food/Organic Waste,Paper,Plastic,Metal,Glass,Textile,Rubber,Grass/Wood etc. waste,Construction Debris,Others
Brunei Darussalam,36,18,16,4,3,,,,,
Cambodia,60,9,15,,3,1,1,,,
Indonesia,60,9,14,4.3,1.7,3.5,5.5,,,2.4
Lao PDR,64,7,12,1,7,5,3,,,
Malaysia,45,8.2,13.2,,3.3,,,,,27.3
Myanmae,73,2.24,17.75,,0.45,1.14,,,,5.15
Philippines,52,8.7,10.55,4.22,2.34,1.61,,,,
Singapore,10.5,16.5,11.6,20.8,1.1,2.1,,8.6,16.9,11.9
Thailand,64,8,17.62,2,3,1.4,1,1,,
Viet Nam,55,5,10,5,3,,4,,,
ASEAN,519.5,91.64,137.72,41.32,27.89,15.75,14.5,9.6,16.9,46.75
