Country,2015,2020,2025,2030,2035,2040,2045,2050
Brunei,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5
Cambodia,15.5,16.7,17.8,18.8,19.7,20.6,21.4,22.0
Indonesia,258.2,272.2,284.8,295.6,304.8,312.1,317.7,321.6
Laos,6.7,7.2,7.6,8.0,8.4,8.7,9.0,9.2
Malaysia,30.7,32.9,34.9,36.8,38.4,39.7,40.8,41.7
Myanmar,52.4,54.8,57.0,58.9,60.4,61.5,62.1,62.4
Philippines,101.7,109.7,117.7,125.4,132.7,139.4,145.7,151.3
Singapore,5.5,5.9,6.2,6.3,6.5,6.6,6.6,6.6
Thailand,68.7,69.4,69.7,69.6,69.2,68.3,67.0,65.4
Vietnam,93.6,98.4,102.8,106.3,109.0,111.2,113.1,114.6
